Struman List Rating Data,,,,,,,,
Structure Type : Bridge,,,,,,,,
,,,,,,,,
Structure Number,Structure Name,Structure Type,Inspection Date,Inspection Item,Position,D,E,R
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,12. Pier Protection Works,P1,X,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,12. Pier Protection Works,P2,X,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,12. Pier Protection Works,P3,X,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,12. Pier Protection Works,P4,X,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,13. Pier Foundations,P1,0,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,13. Pier Foundations,P2,0,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,13. Pier Foundations,P3,0,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,13. Pier Foundations,P4,0,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,14. Piers & Columns,P1,0,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,14. Piers & Columns,P2,0,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,14. Piers & Columns,P3,0,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,14. Piers & Columns,P4,0,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,15. Bearings,P1,X,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,15. Bearings,P2,X,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,15. Bearings,P3,X,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,15. Bearings,P4,X,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,15. Bearings,A1,X,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,15. Bearings,A2,X,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,16. Support Drainage,P1,X,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,16. Support Drainage,P2,X,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,16. Support Drainage,P3,X,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,16. Support Drainage,P4,X,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,16. Support Drainage,A1,X,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,16. Support Drainage,A2,X,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,17. Expansion Joints,P1,X,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,17. Expansion Joints,P2,X,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,17. Expansion Joints,P3,X,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,17. Expansion Joints,P4,X,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,17. Expansion Joints,A1,1,4,1
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,17. Expansion Joints,A2,1,4,1
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,18. Longitudinal Members,S1,X,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,18. Longitudinal Members,S2,X,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,18. Longitudinal Members,S3,X,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,19. Transverse Members,S1,X,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,19. Transverse Members,S2,X,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,19. Transverse Members,S3,X,,
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,20. Decks and Slabs,S1,1,2,1
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,20. Decks and Slabs,S2,1,2,1
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,20. Decks and Slabs,S3,1,2,1
D101_01N_B2705,D101 over Crocodile River,Bridge,04/04/2016,21. Miscellaneous Items,G0,1,2,1
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,01. Approach Embankment,A1,3,2,2
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,01. Approach Embankment,A2,0,0,0
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,02. Guardrail,G0,0,0,0
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,03. Waterway,G0,4,3,3
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,04. Approach Embankment Protection Works,A1,0,0,0
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,04. Approach Embankment Protection Works,A2,0,0,0
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,05. Abutment Foundations,A1,1,1,1
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,05. Abutment Foundations,A2,0,0,0
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,06. Abutments,A1,0,0,0
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,06. Abutments,A2,0,0,0
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,07. Wing/ Retaining Walls,A1,0,0,0
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,07. Wing/ Retaining Walls,A2,0,0,0
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,08. Surfacing,G0,0,0,0
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,09. Superstructure Drainage,G0,1,1,1
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,10. Kerbs / Sidewalks,G0,0,0,0
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,11. Parapet,G0,3,2,3
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,12. Pier Protection Works,P1,X,0,0
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,12. Pier Protection Works,P2,X,0,0
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,12. Pier Protection Works,P3,X,0,0
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,12. Pier Protection Works,P4,X,0,0
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,13. Pier Foundations,P1,0,0,0
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,13. Pier Foundations,P2,0,0,0
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,13. Pier Foundations,P3,0,0,0
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,13. Pier Foundations,P4,0,0,0
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,14. Piers & Columns,P1,0,0,0
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,14. Piers & Columns,P2,0,0,0
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,14. Piers & Columns,P3,0,0,0
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,14. Piers & Columns,P4,0,0,0
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,15. Bearings,P1,X,0,0
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,15. Bearings,P2,X,0,0
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,15. Bearings,P3,X,0,0
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,15. Bearings,P4,X,0,0
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,15. Bearings,A1,X,0,0
D1017_01N_B1443,D1017-03,Bridge,10/10/2012,15. Bearings,A2,X,0,0
